Item;Location;Date;Demand;;;;
9684698;3;2021-04-01;55;;;;
9684698;3;2021-05-01;117;;;;
9684698;3;2021-06-01;62;;;;
9684698;3;2021-07-01;45;;;;
9684698;3;2021-08-01;77;;;;
9684698;3;2021-09-01;26;;;;
9684698;3;2021-10-01;13;;;;
9684698;3;2021-11-01;19;;;;
9684698;3;2021-12-01;48;;;;
9684698;3;2022-01-01;63;;;;
9684698;3;2022-02-01;85;;;;
9684698;3;2022-03-01;81;;;;
9684698;3;2022-04-01;109;;;;
9684698;3;2022-05-01;44;;;;
9684698;3;2022-06-01;53;;;;
9684698;3;2022-07-01;62;;;;
9684698;3;2022-08-01;49;;;;
9684698;3;2022-09-01;49;;;;
9684698;3;2022-10-01;13;;;;
9684698;3;2022-11-01;120;;;;
9684698;3;2022-12-01;69;;;;
9684698;3;2023-01-01;24;;;;
9684698;3;2023-02-01;29;;;;
9684698;3;2023-03-01;61;;;;
9684698;3;2023-04-01;24;;;;
9684698;3;2023-05-01;62;;;;
9684698;3;2023-06-01;8;;;;
9684698;3;2023-07-01;24;;;;
9684698;3;2023-08-01;29;;;;
9684698;3;2023-09-01;15;;;;
9684698;3;2023-10-01;26;;;;
9684698;3;2023-11-01;12;;;;
9684698;3;2023-12-01;19;;;;
9684698;3;2024-01-01;41;;;;
9684698;3;2024-02-01;35;;;;
9684698;3;2024-03-01;68;;;;
9684698;3;2024-04-01;80;;;;
9684698;3;2024-05-01;67;;;;
9684698;3;2024-06-01;40;;;;
9684698;3;2024-07-01;55;;;;
9684698;3;2024-08-01;27;;;;
9684698;3;2024-09-01;38;;;;
9684698;3;2024-10-01;21;;;;
9684698;3;2024-11-01;11;;;;
9684698;3;2024-12-01;27;;;;
9684698;3;2025-01-01;10;;;;
9684698;3;2025-02-01;17;;;;
9684698;3;2025-03-01;51;;;;
9768108;3;2021-04-01;47;;;;
9768108;3;2021-05-01;34;;;;
9768108;3;2021-06-01;62;;;;
9768108;3;2021-07-01;44;;;;
9768108;3;2021-08-01;29;;;;
9768108;3;2021-09-01;37;;;;
9768108;3;2021-10-01;84;;;;
9768108;3;2021-11-01;31;;;;
9768108;3;2021-12-01;19;;;;
9768108;3;2022-01-01;38;;;;
9768108;3;2022-02-01;57;;;;
9768108;3;2022-03-01;75;;;;
9768108;3;2022-04-01;68;;;;
9768108;3;2022-05-01;74;;;;
9768108;3;2022-06-01;45;;;;
9768108;3;2022-07-01;59;;;;
9768108;3;2022-08-01;25;;;;
9768108;3;2022-09-01;15;;;;
9768108;3;2022-10-01;60;;;;
9768108;3;2022-11-01;35;;;;
9768108;3;2022-12-01;26;;;;
9768108;3;2023-01-01;47;;;;
9768108;3;2023-02-01;67;;;;
9768108;3;2023-03-01;66;;;;
9768108;3;2023-04-01;31;;;;
9768108;3;2023-05-01;54;;;;
9768108;3;2023-06-01;72;;;;
9768108;3;2023-07-01;63;;;;
9768108;3;2023-08-01;9;;;;
9768108;3;2023-09-01;26;;;;
9768108;3;2023-10-01;31;;;;
9768108;3;2023-11-01;34;;;;
9768108;3;2023-12-01;52;;;;
9768108;3;2024-01-01;25;;;;
9768108;3;2024-02-01;31;;;;
9768108;3;2024-03-01;39;;;;
9768108;3;2024-04-01;61;;;;
9768108;3;2024-05-01;86;;;;
9768108;3;2024-06-01;82;;;;
9768108;3;2024-07-01;28;;;;
9768108;3;2024-08-01;33;;;;
9768108;3;2024-09-01;34;;;;
9768108;3;2024-10-01;24;;;;
9768108;3;2024-11-01;43;;;;
9768108;3;2024-12-01;28;;;;
9768108;3;2025-01-01;57;;;;
9768108;3;2025-02-01;45;;;;
9768108;3;2025-03-01;59;;;;
9906037;3;2021-04-01;3;;;;
9906037;3;2021-05-01;7;;;;
9906037;3;2021-06-01;7;;;;
9906037;3;2021-07-01;5;;;;
9906037;3;2021-08-01;14;;;;
9906037;3;2021-09-01;3;;;;
9906037;3;2021-10-01;5;;;;
9906037;3;2021-11-01;13;;;;
9906037;3;2021-12-01;12;;;;
9906037;3;2022-01-01;21;;;;
9906037;3;2022-02-01;22;;;;
9906037;3;2022-03-01;23;;;;
9906037;3;2022-04-01;24;;;;
9906037;3;2022-05-01;21;;;;
9906037;3;2022-06-01;22;;;;
9906037;3;2022-07-01;16;;;;
9906037;3;2022-08-01;31;;;;
9906037;3;2022-09-01;17;;;;
9906037;3;2022-10-01;6;;;;
9906037;3;2022-11-01;46;;;;
9906037;3;2022-12-01;18;;;;
9906037;3;2023-01-01;36;;;;
9906037;3;2023-02-01;38;;;;
9906037;3;2023-03-01;51;;;;
9906037;3;2023-04-01;35;;;;
9906037;3;2023-05-01;16;;;;
9906037;3;2023-06-01;16;;;;
9906037;3;2023-07-01;31;;;;
9906037;3;2023-08-01;25;;;;
9906037;3;2023-09-01;42;;;;
9906037;3;2023-10-01;57;;;;
9906037;3;2023-11-01;47;;;;
9906037;3;2023-12-01;42;;;;
9906037;3;2024-01-01;19;;;;
9906037;3;2024-02-01;34;;;;
9906037;3;2024-03-01;29;;;;
9906037;3;2024-04-01;23;;;;
9906037;3;2024-05-01;31;;;;
9906037;3;2024-06-01;29;;;;
9906037;3;2024-07-01;22;;;;
9906037;3;2024-08-01;18;;;;
9906037;3;2024-09-01;40;;;;
9906037;3;2024-10-01;18;;;;
9906037;3;2024-11-01;10;;;;
9906037;3;2024-12-01;11;;;;
9906037;3;2025-01-01;35;;;;
